01.10.2020;64,41;65,2;62,35;69,89;61,28;54,19;53,3;64,11;60,58;59,43;71;71,12;54,43;66,47;70,35;54,47;61,1;61,04;59,73;59,09;64,48;72,27;69,01;68,8
02.10.2020;54,79;63,08;72,07;65,73;66,33;67,04;53;52,97;55,43;68,16;70,73;67,7;61,8;72,73;53,38;70,43;55,76;52,88;55,74;54;70,09;69,26;57,9;58,8
03.10.2020;55,01;67,14;66,61;72,03;71,9;53,61;63,96;59,55;61,98;56,92;52,15;72,91;60,37;54,03;53,31;59,04;61,43;58,71;70,6;63,67;68,84;71,99;69,03;52,13
04.10.2020;63,83;70,52;55,29;69,88;66,2;55,63;54;63,14;72,17;71,74;52,57;58,17;66,9;71,92;62,41;58,47;57,84;72,94;54,97;58,38;71,51;72,79;69,98;67,75
05.10.2020;65,82;61,95;53,17;65,98;59,79;61,31;57,61;64,88;68,03;72,2;52,65;55,31;68,22;57,44;69,37;66,97;62,73;61,4;52,44;71,87;61,89;54,86;69,39;66,1
06.10.2020;54,98;60,42;69,38;52,17;64,42;52,3;55,69;64,18;52,53;72,87;64,68;52,6;69,17;63,69;52,32;58,03;70,18;53,09;55,12;59,93;62,69;69,29;56;63,73
07.10.2020;63,6;56,31;63,23;60,44;62,01;65,18;60,89;63,89;57,93;60,35;70,55;52,74;64,73;55,9;66,68;57,27;72,66;64,17;58,68;55,64;58,65;69,3;66,11;64,93
08.10.2020;53,59;63,06;70,35;56,02;65,53;60,07;57,37;60,77;52;68,46;64,2;66,15;55,87;66,37;69,39;59,95;61,5;71,42;67,46;60,36;64,76;63,41;65,95;53,96
09.10.2020;60,72;53,27;53,52;70,76;52,26;68,03;53,05;62,02;54,74;72,3;57,3;66,3;58,34;68,79;54,47;69,14;53,42;54,57;62,19;52,11;64,9;64,12;65,22;71,21
10.10.2020;56,38;63,71;60,27;57,43;69,98;69,34;72,69;62,44;56,54;62,92;64,06;56,76;52,54;68,38;69,31;63,56;55,29;67,1;63,71;53,21;69,55;58,34;68,52;59,51
11.10.2020;64,02;67,13;58,98;65,63;57,12;60,63;54,78;58,94;63,58;68,81;58,15;53,93;59,26;64,15;70,13;59,83;67,8;54,29;52,18;61,07;54,41;69,47;63,99;70,65
12.10.2020;53,94;66,57;60,26;66,98;69,31;67,47;71,94;64,16;61,88;54,43;55;69,09;57,3;59,47;58,32;67,63;53,53;56,48;59,86;64,49;59,06;69,4;69,83;59,47
13.10.2020;65,87;62,11;72,44;61,02;57,9;53,92;60,55;71,36;64,8;54,98;55,18;70,07;71,66;54,27;68,21;65,48;69,1;56,58;71,29;72,14;61,34;59,28;69,19;60,35
14.10.2020;59,42;59,73;60,37;67,02;61,3;64,99;54,94;71,08;54,12;71,91;64,8;72,51;53,89;54,57;63,38;72,31;59,07;52,8;64,22;69,48;68,55;62,81;63,14;58,15
15.10.2020;56,49;66;71,71;65,66;53,57;70,46;67;59,94;55,93;59,88;66,48;58,85;63,25;64,78;59,34;53,17;52,87;70,47;66,07;69,42;54,52;61,14;64,93;54,8
16.10.2020;53,55;70,49;71,38;62,6;55,46;64,45;52,99;70,99;59;58,14;69,62;65,92;65,13;58,93;67,43;53,38;57,65;70,29;54,44;53,45;59,51;63,38;68,5;58,6
17.10.2020;71,22;61,35;68,87;65,51;52,57;61,27;67,89;61,07;61,18;70,05;63,94;68,8;69,41;61,24;65,19;71,31;54,31;59,98;71,22;54,35;65,04;62,45;66,57;57,9
18.10.2020;69,85;68,62;71,34;61,15;56,9;69,68;66,76;65,19;56,18;52,79;59,19;63,12;59,01;61,9;64,56;71,45;70,26;53,44;59,35;55,96;56,53;56,27;72,11;59,79
19.10.2020;57,82;69,69;58,14;63,15;67,05;65,82;67,2;62,38;56,84;53,96;59,24;64,4;59,84;58,94;62,17;57,99;72,85;57,91;71;70,1;52,23;63,71;66,49;59,82
20.10.2020;70,54;64,77;65,1;65,48;72,06;54,64;52,84;55,88;69,17;58,01;64,78;62,4;72,63;66,23;67,08;70,85;63,95;71,39;52,01;52,05;58,62;72,97;58,46;59,26
21.10.2020;53,02;70,86;62,97;68,17;53,02;69,51;68,34;61,17;68,97;53,8;68,73;56,83;68,13;66,26;70,67;57,05;64,52;60,32;62,43;52,61;54,24;65,71;55,99;65,97
22.10.2020;64,42;68,9;58,53;52,28;68,67;58,8;58,56;69,29;60,1;52,89;58,81;53,67;66,96;68,48;56,6;56,09;54,03;55,62;67,43;71,17;71,73;55,53;70,79;54,78
23.10.2020;59,61;65,79;61,61;66,05;54;56,71;67,98;61,71;71,31;60,99;55,23;72,53;69,62;53,25;59,38;60,99;55,19;54,4;54,25;63,09;67,26;55,9;64,43;69,75
