32;8;28;44;41;23;27;48;22;33;38;11;29;28;13;46;24;27;2;6;37;9;39;9;1;31;30;28;40;43;20
48;33;20;21;22;2;21;16;46;6;34;14;33;10;33;35;33;34;26;15;45;30;19;27;24;31;11;43;28;17;24
30;36;41;22;22;5;21;41;34;29;6;39;43;13;13;1;47;7;12;3;31;38;24;3;16;41;43;27;24;11;28
11;34;38;3;12;50;11;34;10;46;3;1;11;16;27;6;42;15;1;38;21;7;32;49;23;39;11;37;32;50;49
15;1;38;1;23;25;26;23;14;40;21;20;10;33;5;27;30;34;40;6;12;22;25;1;29;49;30;29;36;16;43
20;20;39;39;18;16;7;30;27;13;10;37;13;9;32;18;32;27;17;23;30;31;21;43;48;48;19;12;18;7;35
16;20;29;30;39;15;32;50;28;11;49;29;32;25;45;22;47;48;6;4;16;20;29;5;11;37;43;22;28;36;34
37;11;22;22;3;45;43;9;48;10;12;3;12;8;39;43;14;43;34;1;24;1;47;40;37;1;19;7;26;5;20
16;24;50;13;49;1;16;48;48;28;10;38;43;20;44;33;42;4;21;10;6;27;26;37;31;1;12;7;50;8;36
30;50;27;49;19;32;7;1;19;6;26;2;23;15;42;36;33;21;1;44;9;16;42;15;6;39;49;22;34;21;12
43;6;1;6;14;10;40;41;15;1;47;23;9;31;37;2;4;10;8;4;26;13;21;30;35;11;15;14;2;25;42
2;20;17;6;2;41;7;1;16;33;41;24;32;26;31;7;12;20;37;25;16;1;40;10;30;41;17;27;33;14;48
14;28;37;50;8;28;42;17;3;17;8;30;8;7;45;13;25;11;27;15;30;43;26;32;43;24;2;18;7;18;42
8;35;22;48;16;44;31;15;25;45;30;22;28;34;35;41;2;21;33;22;15;47;4;18;4;49;44;43;48;18;44
36;24;17;19;2;44;17;45;39;19;40;31;50;15;38;46;11;50;1;38;34;41;36;22;40;32;19;48;37;4;32
36;48;20;10;14;40;18;19;22;41;3;17;27;5;13;24;9;32;23;2;27;24;30;31;28;26;5;29;23;9;6
26;41;37;38;25;14;27;37;6;7;37;42;50;5;50;43;7;17;7;16;36;34;44;11;38;32;28;38;6;9;44
44;20;1;13;20;3;26;36;41;40;42;45;41;24;20;36;32;31;5;29;48;17;27;30;35;4;49;9;44;7;12
4;42;20;15;31;50;37;5;11;28;1;1;16;3;9;40;40;19;14;2;50;4;19;41;33;11;20;9;12;37;41
12;40;48;23;29;50;43;48;50;34;35;33;13;36;35;35;30;38;6;8;1;44;9;31;39;8;5;2;14;4;37
39;24;19;34;8;26;1;6;26;20;50;7;44;6;38;1;4;22;26;24;45;44;30;24;24;28;6;44;29;18;7
43;35;42;37;45;28;19;19;20;9;31;31;34;50;15;34;1;5;30;35;8;3;11;48;9;29;20;6;6;34;7
41;29;11;2;50;37;28;22;29;5;18;34;48;44;38;4;41;24;9;18;38;12;29;12;24;5;13;34;50;2;34
47;1;29;19;40;9;23;39;24;27;41;4;42;45;1;29;30;32;3;13;45;43;2;15;50;26;34;8;26;25;44
2;9;31;32;33;9;16;25;29;19;12;47;22;42;46;32;47;24;13;44;36;5;10;45;10;33;9;47;7;42;36
14;39;22;47;46;47;25;10;23;46;4;2;28;32;36;9;28;50;34;29;13;34;44;21;10;38;9;45;46;31;12
40;34;11;6;19;34;50;11;10;39;39;8;20;36;40;23;48;16;16;16;30;39;43;37;12;34;8;7;33;50;24
27;8;16;29;29;25;23;10;8;6;43;21;27;35;31;45;38;28;46;10;29;39;9;22;17;50;43;47;39;44;34
3;12;7;11;26;12;12;6;28;40;29;47;36;15;32;14;44;17;37;44;5;40;33;36;7;23;4;49;40;32;31
26;29;30;44;21;11;8;19;11;11;15;42;35;19;42;32;14;25;33;44;50;41;13;5;50;3;34;31;14;5;5
34;30;31;20;19;21;48;12;38;37;16;32;36;27;45;15;36;7;50;24;32;4;40;30;33;12;7;18;42;35;23
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
